"","gene","BOOST_Ising","BOOST_GP","SPARK","BinSpect"
"723","CDC42EP5",0,0,0,0
"724","CPNE2",0,0,0,0
"725","EP300",0,0,0,0
"726","RPS3",0,0,1,0
"727","PDCD1LG2",0,0,0,0
"728","FAAP20",0,0,0,0
"729","CRELD1",0,0,0,0
"730","EGR1",0,0,0,1
"731","EIF2S3",0,0,0,1
"732","ATP5C1",0,0,0,0
"733","C4A",0,0,0,1
"734","RPS20",1,0,0,1
"735","IFITM3",0,0,0,0
"736","RETSAT",1,0,0,1
"737","TP53I13",0,0,1,0
"738","KCNS3",0,0,0,0
"739","CNIH4",0,0,0,1
"740","ATP6V0E1",0,0,0,1
"741","HNRNPF",1,0,0,1
"742","PMF1",0,0,0,1
"743","RWDD1",0,0,0,1
"744","RNH1",0,0,0,0
"745","UBB",0,0,0,0
"746","IMPA2",0,0,0,0
"747","HERPUD1",0,0,0,1
"748","WBSCR22",0,0,0,1
"749","LTF",0,0,0,1
"750","TGOLN2",0,0,0,1
"751","MRPL11",0,0,0,0
"752","HES6",0,0,0,0
"753","VPS52",0,0,0,0
"754","PHF20",0,0,0,1
"755","EIF5A",0,0,0,0
"756","MGST1",1,0,0,1
"757","TCP1",0,0,0,1
"758","CPSF6",0,0,0,1
"759","C11orf30",0,0,0,0
"760","OCIAD2",0,0,0,0
"761","RRM2B",0,0,0,1
"762","C1orf216",0,0,0,0
"763","BPIFB1",0,0,0,0
"764","INF2",0,0,0,0
"765","SOGA1",0,0,0,1
"766","PGM3",0,0,0,1
"767","GGCX",0,0,0,1
"768","TMEM87B",0,0,0,0
"769","BBX",0,0,0,1
"770","DAPK3",0,0,0,0
"771","MUL1",0,0,0,1
"772","CDK7",0,0,0,1
"773","NIT2",0,0,0,0
"774","MTDH",0,0,0,1
"775","DSP",0,0,0,1
"776","SON",0,0,0,1
"777","JADE3",0,0,0,0
"778","LFNG",0,0,0,1
"779","CTTN",0,0,0,0
"780","UBE2S",0,0,0,0
"781","OMA1",0,0,0,0
"782","ADGRG1",0,0,0,1
"783","PKP3",0,0,0,0
"784","PSKH1",0,0,0,0
"785","TGIF1",0,0,0,1
"786","SIRT2",0,0,0,0
"787","TATDN1",0,0,0,1
"788","GALNT6",0,0,0,1
"789","C5orf63",0,0,0,1
"790","CLUAP1",0,0,0,0
"791","MRPL45",0,0,0,1
"792","ATP6AP2",0,0,0,0
"793","RPSA",0,0,0,0
"794","RPS19BP1",0,0,0,1
"795","ANXA2",0,0,1,1
"796","GGA2",0,0,0,0
"797","FCHO2",0,0,0,0
"798","KLHL36",0,0,0,0
